dt,AAPL_EPS_diluted
4/28/2022,6.1521
1/27/2022,6.0233
10/28/2021,5.6071
7/27/2021,5.1061
4/28/2021,4.4565
1/27/2021,3.6991
10/29/2020,3.2668
7/30/2020,3.2893
4/30/2020,3.189
1/28/2020,3.1654
10/30/2019,2.9631
7/30/2019,2.9337
4/30/2019,2.973
1/29/2019,3.0407
11/1/2018,2.9675
7/31/2018,2.7575
5/1/2018,2.59
2/1/2018,2.4325
11/2/2017,2.3
8/1/2017,2.2
5/2/2017,2.1375
1/31/2017,2.0875
10/25/2016,2.0675
7/26/2016,2.14
4/26/2016,2.2475
1/26/2016,2.355
10/27/2015,2.3
7/21/2015,2.165
4/27/2015,2.0225
1/27/2015,1.855
10/20/2014,1.6079
7/22/2014,1.5479
4/23/2014,1.4947
1/27/2014,1.4401
10/28/2013,1.4154
7/23/2013,1.43
4/23/2013,1.4961
1/23/2013,1.575
10/25/2012,1.5772
