dt,TSLA_EPS_diluted
7/20/2022,8.3024
4/20/2022,7.3697
1/26/2022,4.8928
10/20/2021,3.0884
7/26/2021,1.9191
4/26/2021,0.9991
1/27/2021,0.6286
10/21/2020,0.5004
7/22/2020,0.3843
4/29/2020,-0.1785
1/29/2020,-1.0063
10/23/2019,-0.9628
7/24/2019,-0.7686
4/24/2019,-1.1503
1/30/2019,-1.1765
10/24/2018,-2.1344
8/1/2018,-3.224
5/2/2018,-2.788
2/7/2018,-2.358
11/1/2017,-1.712
8/2/2017,-0.944
5/3/2017,-0.954
2/22/2017,-0.972
10/26/2016,-1.304
8/3/2016,-1.688
5/4/2016,-1.56
2/10/2016,-1.378
11/3/2015,-1.062
8/5/2015,-0.826
5/6/2015,-0.636
2/11/2015,-0.472
11/5/2014,-0.326
7/31/2014,-0.27
5/7/2014,-0.222
2/19/2014,-0.1411
11/5/2013,-0.2731
8/7/2013,-0.4191
5/8/2013,-0.5671
2/20/2013,-0.74
11/5/2012,-0.744
