dt,KO_Open,KO_High,KO_Low,KO_Close,KO_AdjClose,KO_Volume,PEP_Open,PEP_High,PEP_Low,PEP_Close,PEP_AdjClose,PEP_Volume,KO_14-high,KO_14-low,KO_%K,KO_%D,PEP_14-high,PEP_14-low,PEP_%K,PEP_%D,KO_%R,PEP_%R,KO_RSI,PEP_RSI,S&P,gdp,M2SL,FEDFUNDS,DGS3MO,DGS6MO,DGS10,BAMLH0A0HYM2,CPI,PPIACO,PAYEMS,UNRATE,UMCSENT,Sales_KO,EBITDA_KO,Net Debt_KO,Return on Assets_KO,Return on Equity_KO,EBITDA/Interest Expense_KO,Diluted Shares Outstanding_KO,Dividend Yield (%)_KO,Sales_PEP,EBITDA_PEP,Net Debt_PEP,Return on Assets_PEP,Return on Equity_PEP,EBITDA/Interest Expense_PEP,Diluted Shares Outstanding_PEP,Dividend Yield (%)_PEP,TTL_Sales_KO,TTL_Sales_PEP,TTL_EBITDA_KO,TTL_EBITDA_PEP
2013-04-18,42.47999954223633,42.650001525878906,42.09000015258789,42.099998474121094,31.403154373168945,16034200.0,80.20999908447266,83.44999694824219,80.11000061035156,81.25,62.19356918334961,18895600.0,42.70000076293945,39.77000045776367,79.52210831655995,90.11451278773409,83.44999694824219,78.25,57.692341550587315,57.12673710254288,-20.47789168344005,-42.307658449412685,63.399774103290646,63.679697109833285,1541.61,16699.551,10585.9,0.15,0.05,0.09,1.72,4.8,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-19,42.279998779296875,42.77000045776367,42.20000076293945,42.65999984741211,31.82089614868164,13875800.0,82.01000213623047,83.2699966430664,81.87000274658203,82.7699966430664,63.35703659057617,8368300.0,42.77000045776367,39.77000045776367,96.33331298828125,90.24530527845768,83.44999694824219,78.25,86.92306337976507,58.99348344225459,-3.66668701171875,-13.076936620234928,66.5051818690707,68.53851796968648,1555.25,16699.551,10585.9,0.15,0.05,0.09,1.73,4.78,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-22,42.52000045776367,42.849998474121094,42.400001525878906,42.720001220703125,31.865646362304688,10544100.0,82.29000091552734,83.62999725341797,82.05000305175781,83.37999725341797,63.823970794677734,6664800.0,42.849998474121094,39.77000045776367,95.77930723566794,90.54490951350301,83.62999725341797,78.25,95.35315747900852,79.98952080312033,-4.220692764332062,-4.646842520991481,66.82992361576184,70.25809835616221,1562.5,16699.551,10585.9,0.15,0.05,0.09,1.72,4.75,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-23,42.779998779296875,42.959999084472656,42.2599983215332,42.70000076293945,31.850732803344727,11216200.0,83.66999816894531,84.31999969482422,83.5,84.0999984741211,64.37511444091797,6670800.0,42.959999084472656,39.77000045776367,91.84957888833216,94.65406637076045,84.31999969482422,78.25,96.37559749977062,92.88393945284808,-8.150421111667837,-3.6244025002293845,66.59813824832855,72.19019520911955,1578.78,16699.551,10585.9,0.15,0.05,0.09,1.74,4.71,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-24,42.63999938964844,42.900001525878906,42.099998474121094,42.150001525878906,31.440471649169922,11368200.0,84.05999755859375,84.29000091552734,82.22000122070312,82.33999633789062,63.02788162231445,6398300.0,42.959999084472656,39.77000045776367,74.60821607219945,87.41236739873318,84.31999969482422,78.25,67.38050318813183,86.36975272230366,-25.391783927800542,-32.61949681186817,60.39485219619551,61.647735831145695,1578.79,16699.551,10585.9,0.15,0.06,0.09,1.73,4.66,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-25,42.2599983215332,42.540000915527344,42.08000183105469,42.349998474121094,31.589658737182617,10197100.0,82.41000366210938,83.08999633789062,82.18000030517578,82.81999969482422,63.39533233642578,5602800.0,42.959999084472656,39.77000045776367,80.87771558131108,82.44517018061423,84.31999969482422,78.25,75.28830188774106,79.68146752521452,-19.122284418688913,-24.711698112258944,61.788644706319424,63.225096560448996,1585.16,16699.551,10585.9,0.15,0.05,0.08,1.74,4.61,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-26,42.18000030517578,42.43000030517578,42.09000015258789,42.099998474121094,31.403154373168945,15159800.0,82.70999908447266,82.98999786376953,82.30000305175781,82.51000213623047,63.15803909301758,3076000.0,42.959999084472656,40.04999923706055,70.44671287126117,75.31088150825722,84.31999969482422,78.73999786376953,67.56277841128166,70.07719449571819,-29.55328712873883,-32.437221588718344,58.99382149774728,61.466850475381385,1582.24,16699.551,10585.9,0.15,0.05,0.09,1.7,4.6,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-29,42.2400016784668,42.290000915527344,41.91999816894531,42.2400016784668,31.507596969604492,11311100.0,82.51000213623047,82.91999816894531,82.41999816894531,82.6500015258789,63.265193939208984,2849600.0,42.959999084472656,40.04999923706055,75.25781980208143,75.52741608488454,84.31999969482422,78.73999786376953,70.07172722325679,70.97426917409318,-24.742180197918564,-29.92827277674321,60.0827245448636,61.981063034301144,1593.61,16699.551,10585.9,0.15,0.05,0.08,1.7,4.53,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-04-30,42.150001525878906,42.38999938964844,41.880001068115234,42.33000183105469,31.57474136352539,13432200.0,82.41000366210938,82.63999938964844,82.0199966430664,82.47000122070312,63.12741470336914,4116100.0,42.959999084472656,40.04999923706055,78.35060871297875,74.68504712877377,84.31999969482422,78.73999786376953,66.8459163610808,68.16014066520643,-21.649391287021245,-33.1540836389192,60.80329985147124,60.856593755464715,1597.57,16699.551,10585.9,0.15,0.05,0.09,1.7,4.55,97.7976263306007,97.7976263306007,135871.0,7.6,76.4,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
2013-05-01,42.150001525878906,42.560001373291016,42.13999938964844,42.209999084472656,31.485225677490234,8710600.0,82.36000061035156,82.83999633789062,82.08000183105469,82.20999908447266,62.92840576171875,3532100.0,42.959999084472656,40.04999923706055,74.22680277227568,75.94507709577861,84.31999969482422,78.73999786376953,62.18638139850311,66.36800832761358,-25.77319722772433,-37.81361860149689,59.267041155891114,59.18628030246678,1582.7,16699.551,10628.2,0.11,0.06,0.08,1.66,4.5,97.8381297544058,97.8381297544058,136093.0,7.5,84.5,11018.0,3036.0,16690.0,10.114478,26.69607,27.853211,4530.0,2.584075,12581.0,2240.0,22389.0,8.181855,27.231508,16.470588,1563.0,2.733978,47916.0,65645.0,13348.0,12245.0
